SITENAME	SITEID	Local Authority	Filename including path
Pontburn Wood	1.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.1 Pontburn Wood.pdf
West Wood	1.10	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.10 West Wood.pdf
Sodfine and Howden Wood	1.11	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.11 Sodfine & Howden Woods.pdf
Knitsley and High House Wood	1.12	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.12 Knitsley & High House Woods.pdf
Butsfield and Quick Burn	1.13	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.13 Butsfield and Quick Burn.pdf
Black Plantation	1.14	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.14 Black Plantation.pdf
Pan Burn Woods	1.15	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.15 Pan Burn Woods.pdf
Upper Deerness Valley	1.16	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.16 Upper Deerness Valley.pdf
Burnhope Pond	1.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.17 Burnhope Pond.pdf
Whiteside Burn Wood	1.18	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.18 Whiteside Burn Wood.pdf
Pontop Fell	1.19	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.19 Pontop Fell.pdf
Causey Burn Wood (1)	1.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.2 Causey Burn Wood.pdf
Causey Burn Wood (2)	1.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.2 Causey Burn Wood.pdf
Burnopfield Meadow	1.20	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.20 Burnopfield Meadow.pdf
Greenwell Ford Meadow	1.21	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.21 Greenwell Ford Meadow.pdf
Hedleyhope Fell	1.22	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.22 Hedleyhope Fell.pdf
Leapmill Burn Meadow	1.23	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.23 Leapmill Burn Meadow.pdf
Stuartfield Moor	1.24	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.24 Stuartfield Moor.pdf
Ragpath Heath	1.25	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.25 Ragpath Heath.pdf
South Stanley Wood	1.26	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.26 South Stanley Wood.pdf
Westlaw Wood and Spa Well Paddock	1.27	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.27 Westlaw Wood and Spa Well Paddock.pdf
Hellhole Wood	1.28	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.28 Hellhole Wood.pdf
Loves Wood and Malton	1.29	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.29 Loves Wood & Malton Nature Reserve.pdf
Burnhope Burn Wood	1.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.3 Burnhope Burn Wood.pdf
Hedleyhill Colliery Wood	1.30	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.30 Hedleyhill Colliery Wood.pdf
Beckley Wood	1.31	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.31 Beckley Wood.pdf
Broomhill Dene	1.32	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.32 Broomhill Dene.pdf
Tanfield Lea Marsh	1.33	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.33 Tanfield Lea Marsh.pdf
Briardene Meadow	1.34	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.34 Briardene Meadow.pdf
Morrow Edge Heath and Quaking Houses Fell	1.35	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.35 Morrow Edge Heath and Quaking Houses Fell.pdf
Kyo Bogs	1.36	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.36 Kyo Bogs.pdf
Stony Heap/Batling Lime Kiln	1.37	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.37 Stony Heap Batling Lime Kilns.pdf
Ewehurst Wood	1.38	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.38 Ewehurst Wood.pdf
Harperley and Pea Woods	1.39	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.39 Harperley & Pea Woods.pdf
Muggleswick Marsh	1.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.4 Muggleswick Marsh.pdf
Harelaw Heath	1.40	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.40 Harelaw Heath.pdf
Middles West	1.41	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.41 Middles West.pdf
Horsleyhope Haugh	1.42	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.42 Horsleyhope Haugh.pdf
"Barn Hill Heath, Stanley"	1.43	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.43 Barn Hill Heath.pdf
"Delight Bank, Dipton"	1.44	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.44 Delight Bank.pdf
"Grove Ponds, Consett"	1.45	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.45 Grove Ponds and Meadow, Consett.pdf"
